# dcmpfile x y sim_mag mag_gal mag_gal_GLADE GLADE_gal_id detmag detmagerr snr
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 819.37 376.21 18.105 -99.000 -99.000 -99 18.116 0.012 93.039
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3406.00 592.99 21.538 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3945.50 509.80 22.350 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 686.65 4304.13 22.620 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1470.41 3443.57 21.314 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1259.58 2246.22 18.138 -99.000 -99.000 -99 18.147 0.011 96.302
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3757.22 1631.12 20.886 -99.000 -99.000 -99 20.841 0.138 7.872
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3716.23 3868.44 20.461 -99.000 -99.000 -99 20.313 0.080 13.546
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 2298.53 3869.88 19.243 -99.000 -99.000 -99 19.310 0.033 32.873
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1597.02 2562.88 20.444 -99.000 -99.000 -99 20.457 0.093 11.709
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3670.50 3701.62 18.142 -99.000 -99.000 -99 18.141 0.011 98.906
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 18.08 3738.31 23.727 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 606.71 3464.87 22.147 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3590.08 528.34 21.298 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3012.64 1912.53 22.323 -99.000 -99.000 -99 -99 -99 -99
